Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.695865324,0.668045921,0.664793878,0.670012715,0.649250834,0.631183729,0.611231991,0.595845916,0.527567463,0.511734301,0.522894709,0.503580411,0.453128159,0.439047455,0.424195292,0.39557747,0.373928378,0.35442048,0.349347425,0.361094172,0.36514729,0.367500782,0.355558103,0.346076233,0.326899432,0.313670597,0.303300326,0.297268854,0.284119071,,
GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.839599856,6.018451131,5.757130883,5.485200915,5.644345772,5.64478149,5.605138916,5.466213435,5.679779884,5.725073454,5.737078295,5.924127796,6.136325481,6.203010992,6.350810496,6.562618796,6.796677097,6.915666016,6.971203761,6.960343908,6.816881182,6.78393199,6.868449436,7.076343792,7.178199214,7.172777739,,,,,
Energy intensity level of primary energy (MJ/$2011 PPP GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.507566694,7.355185665,7.72055096,8.145067708,7.951564454,8.000872197,8.110439443,8.348320942,8.084216968,8.07359349,8.073693286,7.843239472,7.592646332,7.526643226,7.372330976,7.160809661,6.920009393,6.822622321,6.780364142,6.796687102,6.95979785,6.993868536,6.915246122,6.729598558,6.625532809,6.548053372,,,,,
Net ODA received (% of GNI),6.276928185,9.362199685,8.298117219,6.514758985,4.911010165,6.966971589,5.746372475,5.177053848,3.810702079,4.294813002,2.995768749,3.251844525,3.356880753,2.030224664,1.284980161,1.145313463,0.726031909,0.618678174,0.315043676,0.200298153,0.214047037,0.45926053,0.043511681,0.00879727,-0.038364348,-0.00890235,-0.015368417,0.007293561,0.004685803,0.020986919,0.018468037,0.016475319,-0.000873108,-0.008953396,-0.0247011,0.010097364,-0.024488939,-0.028172145,-0.013312382,-0.011198613,,,,,,,,,,,,,,,,,,,,,
"Net official flows from UN agencies, UNECE (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net financial flows, others (NFL, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IBRD loans and IDA credits (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000277361,0.000344828,0.000145191,4.93E-05,0.001547434,0.001573091,0.001643654,0.003639782,0.002748729,0.001671352,0.00483088,0.009355485,0.006261662,0.00415419,0.001710635,0.008328585,0.009365502,0.012582701,0.014135051,0.010362443,0.012422397,0.015348633,0.019232222,0.032846946,0.031024979,0.036724652,0.039196142,0.038142975,0.041852739,0.040903298,,,,
"Net bilateral aid flows from DAC donors, Iceland (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Australia (current US$)",,,,,,270000.0107,270000.0107,170000.0018,740000.0095,879999.9952,230000.0042,319999.9928,800000.0119,579999.9833,560000.0024,720000.0286,769999.9809,649999.9762,519999.9809,289999.9917,250000,189999.9976,200000.003,189999.9976,509999.9905,819999.9928,649999.9762,670000.0167,689999.9976,439999.9976,579999.9833,449999.9881,259999.9905,109999.9994,59999.99866,119999.9973,,,50000.00075,,,189999.9976,209999.9934,230000.0042,200000.003,,,,,,,,,,,,,,,,
"Transport services (% of service exports, BoP)",,,,,,,,,,,,,,,,,22.52783235,19.32471264,16.21088938,23.3151184,30.9597708,32.84694093,32.7177443,34.32572644,32.59399902,31.5787704,31.3697303,29.37403617,31.01738832,32.50779338,30.57022665,35.50887722,38.15906832,39.36387076,41.4879286,38.51158258,35.76423096,39.48664949,37.63169599,40.83878328,42.18648253,43.09052982,42.97571809,48.19591449,49.9397146,47.32981517,45.35571459,46.80212286,49.09100295,39.5638071,47.00158049,40.83273244,40.18517603,36.37753789,34.08106893,35.01988747,28.92865769,27.63003435,26.98608666,26.06470215,27.89991787
"Portfolio investment, net (BoP, current US$)",,,,,,,,,,,,,,,,,-74000000,-70000000,-42000000,-8000000,-133500000,-24300000,14600000,-545600000,-836000000,-1737400000,332700000,296600000,1080500000,710800000,-161800000,-3103600000,-5950500000,-10102000000,-6232300000,-11712000000,-15101800000,-14384000000,1224100000,-9189900000,-12176700000,-6706300000,-346400000,-17287400000,-6599000000,3518100000,23385700000,27078000000,2421400000,-51187500000,-42364700000,-13142700000,-6747800000,9344500000,30608900000,49529800000,66970200000,57853000000,47420700000,42377000000,41494400000
"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,,,1000000,3000000,2000000,1000000,125100000,92200000,166200000,175800000,266200000,325600000,478000000,580300000,823300000,1129300000,1376800000,1608700000,1672700000,1451400000,1767300000,2468100000,2537000000,2529800000,2434400000,2741200000,3300300000,3142000000,3125900000,3660100000,4598100000,4720000000,4776500000,5334400000,5823400000,7355600000,9182900000,7415000000,8616600000,9836800000,10546000000,10055900000,9429400000,9701600000,9812300000,9909400000,9889600000
Rural land area (sq. km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77155.28906,,,,,,,,,,77155.28906,,,,,,,,,,77155.28906,,,,,,,,,,
Agricultural land (% of land area),,21.90545304,21.57370931,21.77068215,22.71407837,23.61600663,23.99958532,24.21729214,24.28986108,24.22765913,24.09288824,23.83371346,23.5330707,23.54343769,23.51233672,23.55380469,23.5330707,23.50196973,23.46050176,23.34646486,23.2946299,23.27389592,23.25316193,23.18059299,23.10802405,23.01472113,22.98362015,23.00435414,22.95251918,22.77628032,22.58967448,22.40306863,22.14389384,21.957288,21.72921418,21.23159859,20.81691893,20.55774414,20.41260626,20.25710139,20.45407423,20.10543725,19.82642835,19.64876033,19.55174551,19.42178627,19.17836499,18.98472967,18.73389009,18.49371523,18.24074074,18.06873135,18.3742678,18.15429146,17.94416504,17.81517779,17.44607084,17.19515947,16.94011485,,
"Intentional homicides, female (per 100,000 female)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873812885,0.876740706,0.724538272,0.76438244,0.78084753,0.770449731,0.601992516,0.602897423,,
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),,,,,0.085910653,0.641773629,0.120433561,0.876643707,0.219828534,0.080308384,0.059382423,0.232861401,0.571042613,0.080552716,0.102986612,0.12981904,0.654619932,0.971327913,1.808089952,1.645362525,2.200776407,2.33986037,2.918848587,3.425690842,4.51070258,2.751633318,2.694905026,2.029356131,1.709266544,1.681681346,1.698766471,1.91018969,1.807928215,3.421739536,2.289615438,1.840981248,1.776047756,1.801831807,2.248469929,1.833544102,1.650237723,1.9046738,1.697534875,2.214226947,2.045385722,2.16517522,2.19682569,2.212065849,2.761104656,2.781401673,3.030499748,2.818704636,2.687124461,2.503269898,2.65211213,2.730272914,2.766535955,3.109103493,3.020449653,3.23525328,
Export unit value index (2000 = 100),,,,,,,,,,,,,,,,,,,,,128,132,128,123,127,122,125,137,156,159,156,157,153,147,151,162,141,128,102,100,100,84.22919719,80.81283257,83.00300763,91.66345338,95.73532814,94.20066322,94.77134264,98.48075885,84.05182386,90.25217861,94.43973163,90.63777281,89.30361687,87.36793399,77.11884013,72.62281175,79.10850621,81.93105576,74.82841058,70.07017814
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),,,,,,,,0.010041169,0.006811989,,,,,,,,0.089720142,0.108275186,0.086811932,0.04708658,0.067081241,0.070353872,0.009484458,0.030157506,0.005223995,0.257582587,0.024264578,0.019743385,0.072183687,0.057147862,0.222565951,0.413562519,0.503431144,1.447532154,1.634423731,1.780771223,1.623900318,1.460227469,1.524234445,1.843979923,1.638646006,1.758124047,1.847036982,1.746493193,2.086158561,1.78802399,1.74303792,2.336724441,2.356455605,2.27774067,2.796900122,2.530462976,2.637296502,2.571234835,3.439538295,3.069552629,2.556656032,3.037610194,3.89540335,3.658319708,
"Share of tariff lines with specific rates, primary products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.64811,15.88137,0,,0,,,0,0.5111453,0,0,0.800291,0,0,0,0,0,0,0,0.6817444,0,0.1909774,0,0.193872,0,0,0,0,0,0,0,,0
"Share of tariff lines with specific rates, manufactured products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.996345,11.35912,0,,0,,,0,0,0.0230429,0.025201,0.1533505,0.0349088,0.0310655,0.3228751,0.377823,0,0.3250059,0.0253329,2.632642,0.427598,0.1516304,0,0.4427603,0.4245866,0.3982035,0,0,0.3362874,0.0044375,0.0044375,,0.003928
"International tourism, number of departures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3819000,4649000,4542000,3067000,4342000,5508000,6084000,7123000,7086000,8826000,10080000,11610000,13325000,11996000,9494000,12488000,12694000,13737000,14846000,16081000,19310000,22383000,26496000,28696000,28714000,4276000
"Population, male",12591416,12979341,13359079,13735244,14095495,14453413,14815301,15157849,15505441,15852034,16194061,16509105,16815121,17109280,17399754,17690501,17971637,18251313,18528567,18809812,19103231,19401391,19701296,19991962,20239130,20439537,20645246,20852048,21060602,21274118,21489519,21708726,21941440,22171220,22400116,22629669,22847326,23061799,23226996,23390699,23585703,23766880,23904806,24029101,24123474,24171831,24294098,24410397,24589088,24709635,24828871,25019009,25151510,25267949,25428291,25562160,25661177,25729091,25846211,25891693,25921864
"Population ages 70-74, female (% of female population)",1.260322118,1.261441702,1.254487845,1.245482817,1.239838216,1.239318473,1.243526484,1.252217539,1.260688468,1.262138657,1.253871075,1.232082188,1.202959156,1.178999973,1.175657284,1.199293545,1.229407153,1.280877351,1.343825947,1.405500053,1.459428169,1.494405862,1.525455434,1.553891999,1.580907098,1.60756364,1.613840466,1.620905397,1.637685267,1.675352916,1.738559805,1.818146843,1.916912764,2.021474489,2.114917745,2.189315038,2.218489315,2.237268588,2.2606088,2.308130556,2.389635319,2.490276384,2.619384662,2.76301587,2.902478087,3.026629729,3.128253184,3.218820554,3.300652191,3.375977939,3.445708313,3.505144945,3.571917699,3.647890961,3.732257664,3.818013151,3.857983787,3.904673028,3.9653738,4.051902215,4.172387114
"Population ages 45-49, female (% of female population)",4.034447485,3.953789447,3.874985425,3.813110561,3.789690126,3.815257601,3.889467732,4.006338755,4.137219178,4.241513646,4.29719373,4.306394399,4.269263604,4.218657292,4.201812515,4.243833753,4.322287863,4.455531481,4.615937315,4.761239576,4.866290118,4.940336685,4.978782982,4.990057612,4.989046125,4.98471462,4.955422923,4.93480055,4.928528486,4.939537512,4.968971609,5.027673001,5.095098034,5.174337759,5.269674863,5.382972682,5.482941433,5.599748311,5.750925687,5.963187493,6.249970878,6.623261754,7.070015107,7.534612812,7.93532888,8.221620229,8.412590437,8.484852178,8.477788268,8.455082169,8.456198781,8.462552882,8.484828322,8.51146956,8.525905891,8.517019499,8.491016419,8.461573242,8.417869144,8.343804143,8.231304609
"Population ages 15-64, female",6713810,6844693,7013025,7210208,7411005,7613351,7845349,8062677,8288299,8535143,8807972,9075884,9357349,9647102,9943742,10247250,10538290,10848479,11166209,11480543,11789486,12126192,12438499,12733173,13013303,13288631,13541065,13840677,14164219,14471946,14738359,15028397,15254222,15434246,15620361,15837212,15991910,16201337,16402570,16581579,16741634,16901281,16990282,17048173,17095374,17135405,17247807,17363179,17530232,17654332,17766813,17905723,18002041,18082129,18182215,18246710,18265573,18250813,18252358,18176833,18060533
Women who were first married by age 18 (% of women ages 20-24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birth rate, crude (per 1,000 people)",42.277,41.013,39.579,38.065,36.552,35.119,33.82,32.65,31.595,30.652,31.2,31.2,28.4,28.3,26.6,24.8,22.2,22.7,20.3,23,22.6,22.4,21.6,19.3,16.7,16.1,15.4,15,15.1,15.1,15.2,16.4,16.7,16,16,15.7,15,14.5,13.7,13.2,13.5,11.7,10.3,10.2,9.8,9,9.2,10.1,9.4,9,9.4,9.4,9.6,8.6,8.6,8.6,7.9,7,6.4,5.9,
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployment with advanced education (% of total labor force with advanced education),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.609999895,3.450000048,3.99000001,3.559999943,1.649999976,1.649999976,1.889999986,3.650000095,3.25,3.789999962,3.700000048,3.319999933,4.150000095,3.960000038,3.74000001,3.700000048,3.519999981,3.309999943,3.700000048,3.710000038,3.309999943,3.109999895,3.25999999,3.579999924,4.070000172,4.210000038,4.320000172,4.119999886,3.890000105,3.930000067
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.06999969,49.90999985,51.20999908,48.86000061,50.29000092,50.56999969,50.47000122,50.43999863,49.88000107,48.90999985,49.40000153,49.95000076,49.5,50.11999893,52.04999924,53.04000092,53.02999878,53.90999985,53.61000061,53.54000092,52.33000183
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.19,75.92,76.36,76.32,77.1,77.38,77.54,77.54,76.75,76.12,76.16,76.02,76.75,76.98,77.41,77.14,76.74,76.69,76.08,75.63,75.82,76.14,76.41,76.49,77.6,77.38,77.66,77.99,77.73,77.64,
"Average working hours of children, study and work, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child employment in manufacturing (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34000015,30.13000011,30.81000042,29.75999928,29.35999966,29.01000023,29.07999992,31.35000038,30.93000031,30.04999924,29.65000057,28.84000015,27.63999891,26.76000023,26.23999977,25.64999962,25.04000044,24.73000097,23.50999928,22.49000025,22.04000044,21.9000001,21.34999943,20.68999958,19.6500001,19.44999981,19.32000017,18.90999985,18.90999985,
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7840004,34.78499985,33.82899857,34.76599884,34.84999847,33.95800018,32.40200043,27.29500008,27.83799934,28.33200073,29.37000084,30.4470005,29.78800011,30.13199997,28.66399956,26.4260006,24.54000092,22.3029995,21.1989994,21.45800018,22.0340004,22.86000061,23.01300049,24.60000038,25.62000084,25.65500069,25.54299927,24.76499939,25.08399963,23.7840004
Average transaction cost of sending remittances from a specific country (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.363074636,6.652026572,6.43,6.004977483,5.43041391,5.057969847,4.810298234,5.066530779,4.868404,4.744175
Poverty gap at $1.90 a day (2011 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.2,,0.1,,0.1,,0,,,,
"Domestic general government health expenditure per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.8129711,484.7903206,499.8400629,543.0709974,586.5567706,656.4947073,776.8734676,869.5765682,923.0857112,1009.662604,1115.134605,1148.720418,1190.034725,1239.506314,1314.634125,1451.702564,1581.249233,1694.520632,1889.566286,2096.192431,
Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of wasting, weight for height, male (% of children under 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.6,0.4,0.5,0.5,0.6,0.4,0.3,0.3,0.4,0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.2,
"People with basic handwashing facilities including soap and water, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk of impoverishing expenditure for surgical care (% of people at risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
"Hospital beds (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,1.700000048,,,,,2.400000095,,,,3,3.099999905,3.299999952,3.5,3.700000048,4.099999905,4.400000095,4.599999905,4.800000191,5.099999905,5.599999905,4.65,4.45,4.83,5.09,5.42,5.9,6.48,7.24,7.73,8.19,8.74,9.53,10.25,10.92,11.59,11.61,11.98,12.27,12.43,,
People using safely managed drinking water services (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.00271038,97.00271038,97.00271038,97.00271038,97.00271038,97.18684337,97.3711509,97.55563295,97.74028953,97.92512065,98.11012629,98.29530646,98.48066115,98.6215861,98.7410531,98.86057265,98.98014475,99.09976941,99.19081966
"Probability of dying among youth ages 20-24 years (per 1,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.8,4.7,4.5,4.5,4.4,4.3,4.1,3.7,3.4,3.1,2.8,2.6,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.1,1.9,1.8,1.7,1.6,1.6,1.6,1.6,1.7,1.7
Prevalence of anemia among non-pregnant women (% of women ages 15-49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,17.2,16.9,16.6,16.3,16,15.7,15.4,15,14.6,14.3,14,13.6,13.4,13.2,13.1,13,13.1,13.2,13.4,
Proportion of seats held by women in national parliaments (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.010033445,3.678929766,3.678929766,5.860805861,5.860805861,5.860805861,5.860805861,13.04347826,13.37792642,13.37792642,14.3812709,13.71237458,14.71571906,14.71571906,14.71571906,15.66666667,15.66666667,16.33333333,16.33333333,17,17,17,16.66666667,19
"School enrollment, tertiary, male (% gross)",,,,,,,,,,,,9.859459877,10.11734009,10.26175022,10.48894024,10.71210957,12.05519009,12.51856995,13.64505005,15.47910976,18.75794983,,27.77753067,34.20270157,38.95748901,41.67726898,45.83827972,47.49505997,48.22671127,48.36856842,49.22690964,50.01372147,51.20103073,53.96731949,56.56747055,61.00099945,67.73973083,84.05500031,84.16342926,91.35047913,96.14835358,99.12992096,101.6181412,103.8180008,106.7344666,110.7838974,115.6198196,119.6299667,120.5645828,119.5743408,116.7468109,113.9926682,109.8785934,107.41745,106.2261429,105.2852173,104.6146774,104.7509995,105.8117294,107.8723679,
Adolescents out of school (% of lower secondary school age),,,,,,,,,,,,45.19496155,40.25640869,35.21461868,29.86285019,29.26351929,25.22738075,24.08776093,25.61610985,20.4155407,17.20920944,14.48307037,,,11.81707001,10.25961018,8.426959991,,,11.55167007,,6.312860012,8.501259804,,,,0.07401,6.718739986,7.444900036,6.139259815,1.890709996,2.038789988,1.314849973,2.593300104,3.049309969,2.956599951,2.35126996,2.01218009,3.034179926,0.591769993,0.226549998,0.088030003,0.02664,0.292349994,,0.236389995,3.753740072,5.631599903,2.746390104,4.86950016,
"Progression to secondary school, male (%)",,,,,,,,,,,,80.45302,77.48653,,,82.68081,85.10075,90.29984,94.0871,96.4725,,98.77851,98.13558,98.59988,98.89591,99.14486,99.15114,99.18392,,,,,,,99.55602,,,99.78142,100,99.5969,99.37204,99.33426,99.29503,99.11818,99.13775,99.23678,99.18585,99.91071,100,,99.96816,,99.95227,99.79813,99.75648,99.79796,99.77094,,,,
"Secondary education, pupils (% female)",,,,,,,,,,,,37.94437,38.82777,39.35747,39.85837,40.31653,40.76574,41.29229,41.97992,42.85307,44.45751,45.47416,45.70357,45.90399,46.52554,46.96934,47.30646,47.96972,47.23154,47.35489,47.49043,47.73273,47.89118,48.13969,48.00139,48.52863,48.53747,48.33276,48.15452,47.92297,47.84866,47.72176,47.47885,47.35486,47.23561,47.15203,46.92403,46.8656,46.9005,46.98703,47.12136,47.21266,47.40355,47.57525,47.70265,47.74147,47.72339,47.78214,,,
Children out of school (% of primary school age),,,,,,,,,,,,4.083260059,2.45600009,3.192209959,3.554680109,3.216099977,2.310460091,3.215610027,2.879169941,1.248990059,0.033070002,0.05215,0.186910003,0.241300002,0.86154002,1.425390005,1.726559997,0.530399978,0.115970001,0.117689997,0.222969994,0.26019001,0.420459986,0.648039997,0.991810024,1.484369993,1.756559968,1.446320057,1.582810044,1.356220007,0.770479977,1.780869961,2.063349962,1.280699968,1.365859985,0.246619999,0.21142,0.138589993,0.02101,0.321969986,0.214129999,0.317669988,2.029330015,4.510179996,4.068789959,1.437870026,2.710829973,2.422580004,0.923990011,0.00993,
"Repeaters, primary, female (% of female enrollment)",,,,,,,,,,,,0.06752,0.09579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0.00927,0.00184,0.00172,0.00115,0.0012,0.00174,0.00089,0.00173,0.00148,0.00404,0.00274,0.00198,0.00394,0.00285,,,
"School enrollment, primary (% net)",,,,,,,,,,,,95.91674,97.544,96.80779,96.44532,96.7839,97.68954,96.78439,97.12083,98.75101,99.96693,99.94785,99.81309,99.7587,99.13846,98.57461,98.27344,99.4696,99.88403,99.88231,99.77703,99.73981,99.57954,99.35196,99.00819,98.51563,98.24344,98.30431,97.72215,98.50236,99.06072,98.11869,97.73171,98.5255,98.19463,99.38856,99.40966,99.47129,99.50574,99.49475,98.38177,98.88635,97.84902,95.3693,95.818,97.98472,96.86178,97.25516,,,
"Primary completion rate, female (% of relevant age group)",,,,,,,,,,,,92.87799835,94.1710968,103.5981216,102.5708313,102.2710266,106.1511002,101.0415573,98.82377625,102.4897308,99.89192963,103.7086792,101.6919785,103.1343613,109.2756271,106.9876633,106.0552902,105.0288925,100.1676865,94.55296326,99.31098938,96.47496033,107.5655518,106.6633072,109.1672363,108.879158,,97.85311127,100.8457413,106.1993179,105.0395203,100.5826492,95.91893005,102.2542267,100.0042038,97.14096069,98.0150528,100.5311127,99.64775848,102.1640625,100.772049,102.8564682,109.3482819,103.2344589,95.69410706,101.2702484,97.8969574,91.13162231,95.21920776,105.4244385,
"Literacy rate, adult male (% of males ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.31552124,,,,,,,,,,,,
Coverage of social safety net programs in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net primary income (Net income from abroad) (current US$),35960509.97,30050195.85,32153969.82,35923215.09,37082777.83,43956456.46,84617085.58,148713588.6,169058377,198396724,163575476.6,75471698.11,23670747.54,13556939.14,70215343.54,-176239669.4,-132438016.5,-109917355.4,150619834.7,-116528925.6,-595130303.1,-993788819.9,-724544509.5,-915372220.4,-1379314623,-2221213305,-2511430030,-1791944759,-1545928063,-726327703.8,-283853283.6,-336265084.9,-471658233.5,-524250314.6,-1168336549,-2079686750,-2139971409,-3060055293,-4961396849,-5487458152,-3855308764,-3706380375,-2327970010,-2451976737,-1374724968,-6603056077,-3075858002,-2973234647,266050431.4,-1462805322,1708992865,7757521686,13368211586,8737064130,7183933153,4584861083,5484071727,6619282701,6946751477,14252965292,12597416616
GNI (constant 2015 US$),26007893172,27918798391,28982912410,31495872425,34555704519,37237704054,42060359942,46380313029,52286080170,59757769105,65174891952,71123696339,75753138508,86906708240,95453785322,1.01563E+11,1.15462E+11,1.29949E+11,1.45154E+11,1.56894E+11,1.53045E+11,1.63313E+11,1.77793E+11,2.01298E+11,2.2159E+11,2.36854E+11,2.63695E+11,3.00491E+11,3.38231E+11,3.64158E+11,4.01029E+11,4.44247E+11,4.71616E+11,5.04043E+11,5.50014E+11,6.02114E+11,6.49777E+11,6.88487E+11,6.47637E+11,7.23674E+11,7.93167E+11,8.31633E+11,8.9874E+11,9.27261E+11,9.77261E+11,1.01387E+12,1.07182E+12,1.13441E+12,1.17185E+12,1.17904E+12,1.26306E+12,1.31548E+12,1.35259E+12,1.39003E+12,1.43243E+12,1.47036E+12,1.51453E+12,1.56307E+12,1.60835E+12,1.65164E+12,1.63611E+12
GDP per capita (current LCU),9989.455619,11708.98971,13799.25267,19020.79129,26432.10059,28963.57576,36217.0654,43596.98454,54896.01859,70144.60251,86740.95115,104553.4455,127373.4752,162075.942,227860.5843,298848.734,403720.9566,511045.9399,680418.0292,863273.1994,1042003.317,1282686.824,1456697.535,1705823.417,1945042.459,2159737.609,2498825.996,2923903.378,3473480.099,3905902.414,4678319.439,5600581.065,6344085.24,7131665.414,8344098.344,9690836.432,10782083.24,11794550.07,11606305.62,12687583.89,13862169.45,14925456.03,16470682.09,17484323.69,18893336.27,19870426.96,20760465.71,22382472.73,23529168.7,24445358.43,26690241.17,27813991,28687562.09,29761095.49,30798656.12,32500678.67,33987783.51,35740457.55,36781950.1,37217785.16,37333541.6
Gross value added at basic prices (GVA) (current US$),3679377994,2273798152,2613394667,3766399102,3310842060,2952477477,3675609936,4503179063,5597578167,7011070239,8213871716,9069566470,10070503194,12854739908,17910351818,19769834711,26874380165,34444008264,46346487603,59779958678,58329848707,65154545321,69986321606,77791169836,87213950718,91076756856,1.05281E+11,1.33567E+11,1.8079E+11,2.24759E+11,2.56206E+11,3.0129E+11,3.23519E+11,3.58313E+11,4.22152E+11,5.16047E+11,5.53346E+11,5.1637E+11,3.51635E+11,4.50577E+11,5.19895E+11,4.92184E+11,5.6218E+11,6.32074E+11,7.20122E+11,8.47481E+11,9.55414E+11,1.06492E+12,9.514E+11,8.60351E+11,1.04063E+12,1.14432E+12,1.16841E+12,1.25785E+12,1.36251E+12,1.34456E+12,1.37283E+12,1.4853E+12,1.57796E+12,1.51253E+12,1.49927E+12
Adjusted net national income (annual % growth),,,,,,,,,,,,,8.013560111,11.46338626,3.893662431,5.419718506,16.66284899,11.49521499,12.05083305,6.038297688,-6.50767571,5.675499671,8.693548888,13.45067284,10.79334652,6.022481709,13.09166762,14.02102447,11.85800443,8.043826179,8.650746021,10.79478906,5.424054005,6.946367139,9.48867179,6.810680363,5.849578853,3.337821102,-8.740430298,10.17700124,6.759664756,3.891439078,9.401301552,2.243189506,4.462773433,1.881543938,3.925107304,6.258167356,-0.945338472,1.340847695,8.01940031,1.188552062,2.393821174,3.63177217,3.078102182,5.855925092,4.086246799,3.57310811,1.144613756,-1.13755725,
